2;35;32;1;1;10.12.2019;2;0;1000
8;27;27;1;1;03.11.2020;1;0;2500
5;45;43;1;2;29.07.2021;2;0;нет
7;30;29;1;1;11.08.2020;1;0;нет
15;55;53;2;3;26.12.2023;4;2;нет
24;60;56;3;4;14.12.2019;3;1;300
35;29;28;4;1;18.05.2022;1;0;500
21;25;24;3;1;09.10.2021;1;0;нет
18;38;37;2;2;26.06.2023;2;1;нет
11;47;44;2;2;20.02.2020;3;1;1200
1;43;42;1;2;15.12.2019;2;0;2500
39;59;56;4;3;23.12.2019;1;0;нет
4;54;53;1;3;21.12.2019;2;1;нет
9;35;32;1;1;10.12.2019;1;0;нет
19;27;26;2;1;29.09.2023;1;0;3000
10;45;43;1;2;24.11.2022;2;0;1250
16;59;57;2;3;01.12.2019;3;1;1200
23;60;58;3;4;26.02.2021;2;0;1000
26;29;28;3;1;17.09.2023;1;0;нет
29;35;33;3;1;28.08.2023;1;0;500
30;30;28;3;1;19.12.2019;1;0;1500
36;37;36;4;2;25.09.2023;2;0;нет
27;27;27;3;1;29.10.2020;1;0;нет
38;29;29;4;1;24.08.2021;1;0;нет
28;60;59;3;3;03.06.2020;4;2;нет
14;28;27;2;1;03.01.2023;1;0;2000
17;55;55;2;4;06.10.2021;2;0;нет
20;43;42;2;2;18.01.2020;2;0;650
22;47;47;3;2;24.10.2022;2;0;500
33;38;34;4;1;08.12.2019;2;0;нет
34;34;30;4;1;15.01.2023;1;0;нет
37;30;29;4;1;09.07.2022;1;0;570
13;29;27;2;1;10.10.2020;1;0;нет
12;35;34;2;1;01.05.2021;1;0;нет
40;60;60;4;4;28.01.2020;1;0;2400
